Title,WAF URL,Records,Records in Error,Notes
NMFS OSF,https://data.noaa.gov/waf/NOAA/nmfs/osf/iso/xml/,4,,
NMFS OST,https://data.noaa.gov/waf/NOAA/nmfs/ost/iso/xml/,40,,
NMFS PIFSC,https://data.noaa.gov/waf/NOAA/nmfs/pifsc/iso/xml/,340,,
NMFS PIRO,https://data.noaa.gov/waf/NOAA/nmfs/piro/iso/xml/,39,,
NMFS SEFSC,https://data.noaa.gov/waf/NOAA/nmfs/sefsc/iso/xml/,301,,
NMFS SERO,https://data.noaa.gov/waf/NOAA/nmfs/sero/iso/xml/,15,,
NMFS SWFSC,https://data.noaa.gov/waf/NOAA/nmfs/swfsc/iso/xml/,47,,
NMFS WCRO,https://data.noaa.gov/waf/NOAA/nmfs/wcro//iso/xml/,42,,
NOAA ATLAS 14 POINT PRECIPITATION FREQUENCY ESTIMATES,https://data.noaa.gov/waf/NOAA/nws/owp/hdsc/iso/xml/,23,,
NOAA/ESRL/PSD,https://data.noaa.gov/waf/NOAA/oar/esrl/psd/iso/xml/,42,,
NOAA/NESDIS/ncei/accessions,https://data.noaa.gov/waf/NOAA/NESDIS/ncei/accessions/iso/xml/,23325,,
NOS CO-OPS,https://data.noaa.gov/waf/NOAA/nos/coops/iso/xml/,9,,
NOS NCCOS,https://data.noaa.gov/waf/NOAA/nos/nccos/iso/xml/,698,,
NOS NGS,https://data.noaa.gov/waf/NOAA/nos/ngs/iso/xml/,90,,
NOS OCM,https://data.noaa.gov/waf/NOAA/nos/ocm/iso/xml/,1495,,
NOS OCS,https://data.noaa.gov/waf/NOAA/nos/ocs/iso/xml/,18,,
NOS ONMS,https://data.noaa.gov/waf/NOAA/nos/onms/iso/xml/,161,,
NOS ORR,https://data.noaa.gov/waf/NOAA/nos/orr/iso/xml/,992,,
NOS STP SEM,https://data.noaa.gov/waf/NOAA/NESDIS/NGDC/STP/SEM/iso/xml/,6,,
NSIDC,https://data.noaa.gov/waf/NOAA/NESDIS/ncei/nsidc/iso/xml/,91,,
Pacific Fisheries Environmental Laboratory,https://data.noaa.gov/waf/NOAA/nmfs/swfsc/erd/erddap/iso/xml/,1418,,
UAF WAF,https://data.noaa.gov/waf/NOAA/uaf/iso/xml/,1,,
